city,country,latitude,longitude,temp,humidity,clouds,wind_speed,date
saskylakh,ru,71.97,114.09,-33,100,0,0.99,"Dec 26, 2019"
portland,au,-33.35,149.98,91,25,0,4.02,"Dec 26, 2019"
arraial do cabo,br,-22.97,-42.02,76,90,0,8.05,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
balsas,br,-7.53,-46.04,77,77,24,1.12,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
castro,cl,-42.48,-73.76,56,100,90,9.8,"Dec 26, 2019"
maniitsoq,gl,65.42,-52.9,19,45,0,1.21,"Dec 26, 2019"
tiarei,pf,-17.53,-149.33,77,88,90,2.1,"Dec 26, 2019"
nuuk,gl,64.17,-51.74,16,78,0,3.6,"Dec 26, 2019"
santiago,cl,-33.44,-70.65,74,28,0,2.6,"Dec 26, 2019"
tuktoyaktuk,ca,69.44,-133.03,-16,75,90,6.2,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
vardo,no,70.37,31.11,32,68,100,4.86,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
vrangel,ru,42.73,133.08,19,61,0,10.88,"Dec 26, 2019"
la ronge,ca,55.1,-105.3,18,92,20,3.1,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
new norfolk,au,-42.78,147.06,75,42,20,7.2,"Dec 26, 2019"
barrow,us,39.51,-90.4,52,93,40,3.6,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
barrow,us,39.51,-90.4,52,93,40,3.6,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
cherskiy,ru,68.75,161.3,-32,90,0,2.46,"Dec 26, 2019"
labytnangi,ru,66.66,66.39,-11,98,100,1.29,"Dec 26, 2019"
jiwani,pk,25.05,61.74,71,46,0,3.11,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
victoria point,au,-27.58,153.3,84,65,75,6.2,"Dec 26, 2019"
tuktoyaktuk,ca,69.44,-133.03,-16,75,90,6.2,"Dec 26, 2019"
port alfred,za,-33.59,26.89,63,65,100,4.02,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
la reforma,mx,25.08,-108.06,64,82,0,3.96,"Dec 26, 2019"
luderitz,na,-26.65,15.16,66,59,84,10.3,"Dec 26, 2019"
torbay,ca,47.66,-52.73,35,86,90,15.4,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
ouadda,cf,8.07,22.4,63,23,15,2.26,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
torbay,ca,47.66,-52.73,35,86,90,15.4,"Dec 26, 2019"
yashkul,ru,46.17,45.34,34,69,92,1.81,"Dec 26, 2019"
mount gambier,au,-37.83,140.78,84,20,0,4.6,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
kokuy,ru,52.2,117.55,-10,92,100,0.7,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
chokurdakh,ru,70.62,147.9,-21,98,77,1.02,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
russell,nz,-35.26,174.12,79,62,68,4.92,"Dec 26, 2019"
barrow,us,39.51,-90.4,52,93,40,3.6,"Dec 26, 2019"
saint-paul,re,-21.01,55.27,81,74,68,9.8,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
shitanjing,cn,39.23,106.34,29,29,0,1.54,"Dec 26, 2019"
barranca,pe,-10.75,-77.76,68,91,100,5.43,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
edson,ca,53.59,-116.44,11,85,90,2.6,"Dec 26, 2019"
east london,za,-33.02,27.91,66,68,92,10.43,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
vostok,ru,46.45,135.83,-3,87,42,1.4,"Dec 26, 2019"
severo-kurilsk,ru,50.68,156.12,26,95,100,3.67,"Dec 26, 2019"
lubbenau,de,51.87,13.97,39,86,75,1.0,"Dec 26, 2019"
ponta do sol,cv,17.2,-25.09,70,74,0,5.15,"Dec 26, 2019"
bulawayo,zw,-20.16,28.59,69,50,2,2.42,"Dec 26, 2019"
ostrovnoy,ru,68.05,39.51,27,85,100,5.41,"Dec 26, 2019"
bambous virieux,mu,-20.34,57.76,79,88,75,8.2,"Dec 26, 2019"
hofn,is,64.25,-15.21,47,93,100,10.97,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
caravelas,br,-17.73,-39.27,73,93,100,1.65,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
new norfolk,au,-42.78,147.06,75,42,20,7.2,"Dec 26, 2019"
curuguaty,py,-24.47,-55.69,75,83,100,1.11,"Dec 26, 2019"
nouadhibou,mr,20.93,-17.03,66,55,0,4.6,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
sao filipe,cv,14.9,-24.5,74,65,0,3.84,"Dec 26, 2019"
narsaq,gl,60.91,-46.05,39,27,100,7.2,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
te anau,nz,-45.41,167.72,48,79,85,6.04,"Dec 26, 2019"
hithadhoo,mv,-0.6,73.08,83,78,49,4.37,"Dec 26, 2019"
sao filipe,cv,14.9,-24.5,74,65,0,3.84,"Dec 26, 2019"
port elizabeth,za,-33.92,25.57,62,57,11,11.22,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
qaanaaq,gl,77.48,-69.36,-4,67,0,3.11,"Dec 26, 2019"
werda,bw,-25.27,23.28,76,25,9,5.4,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
san patricio,mx,19.22,-104.7,83,74,40,1.17,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
shaunavon,ca,49.65,-108.41,15,80,0,5.71,"Dec 26, 2019"
bambous virieux,mu,-20.34,57.76,79,88,75,8.2,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
cassia,br,-20.58,-46.92,66,91,0,0.49,"Dec 26, 2019"
tuatapere,nz,-46.13,167.69,59,68,78,10.28,"Dec 26, 2019"
faanui,pf,-16.48,-151.75,80,82,100,11.7,"Dec 26, 2019"
souillac,mu,-20.52,57.52,79,88,75,8.2,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
pittsfield,us,39.61,-90.81,43,100,90,4.1,"Dec 26, 2019"
paamiut,gl,61.99,-49.67,24,45,0,4.32,"Dec 26, 2019"
vila franca do campo,pt,37.72,-25.43,65,82,75,10.8,"Dec 26, 2019"
karpogory,ru,64.0,44.44,19,94,100,3.47,"Dec 26, 2019"
moron,mn,47.38,110.32,-1,73,13,0.82,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
mahebourg,mu,-20.41,57.7,79,88,75,8.2,"Dec 26, 2019"
sur,om,22.57,59.53,65,62,38,0.43,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
dikson,ru,73.51,80.55,-8,97,100,7.4,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
ulaangom,mn,49.98,92.07,-5,88,86,0.91,"Dec 26, 2019"
sivakasi,in,9.45,77.8,79,78,40,4.43,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
skjervoy,no,70.03,20.97,30,58,100,4.63,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
mahebourg,mu,-20.41,57.7,79,88,75,8.2,"Dec 26, 2019"
saint-philippe,re,-21.36,55.77,81,83,21,2.6,"Dec 26, 2019"
namatanai,pg,-3.66,152.44,83,76,49,4.98,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
bhaktapur,np,27.67,85.43,39,86,20,1.0,"Dec 26, 2019"
tinskoy,ru,56.15,96.92,-21,94,55,4.13,"Dec 26, 2019"
ribeira grande,pt,38.52,-28.7,62,91,100,14.91,"Dec 26, 2019"
erlenbach,de,49.64,9.01,43,100,90,1.5,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
clyde river,ca,70.47,-68.59,-2,84,20,4.1,"Dec 26, 2019"
flin flon,ca,54.77,-101.88,14,96,95,2.29,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
hilo,us,19.71,-155.08,81,74,90,3.1,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
pittsfield,us,39.61,-90.81,43,100,90,4.1,"Dec 26, 2019"
new norfolk,au,-42.78,147.06,75,42,20,7.2,"Dec 26, 2019"
saue,ee,59.32,24.56,34,91,75,2.6,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
saint-joseph,re,-21.37,55.62,81,83,0,2.6,"Dec 26, 2019"
sri aman,my,1.24,111.46,84,79,40,1.5,"Dec 26, 2019"
valer,no,60.68,11.83,20,100,90,1.0,"Dec 26, 2019"
lebu,cl,-37.62,-73.65,51,84,88,2.21,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
sitka,us,37.17,-99.65,28,87,0,3.23,"Dec 26, 2019"
port elizabeth,za,-33.92,25.57,62,57,11,11.22,"Dec 26, 2019"
kodiak,us,39.95,-94.76,36,80,90,4.1,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
beringovskiy,ru,63.05,179.32,-15,95,73,8.41,"Dec 26, 2019"
mar del plata,ar,-46.43,-67.52,68,38,68,10.26,"Dec 26, 2019"
porbandar,in,21.64,69.61,61,55,40,5.1,"Dec 26, 2019"
pisco,pe,-13.71,-76.2,70,83,67,5.1,"Dec 26, 2019"
cleveland,us,41.51,-81.69,59,67,75,4.6,"Dec 26, 2019"
manggar,id,-2.88,108.27,83,76,43,6.45,"Dec 26, 2019"
tecoanapa,mx,16.99,-99.26,83,78,20,1.5,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
arraial do cabo,br,-22.97,-42.02,76,90,0,8.05,"Dec 26, 2019"
hun,ly,29.13,15.95,51,52,36,2.02,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
carnarvon,au,-24.87,113.63,83,69,0,9.8,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
sao filipe,cv,14.9,-24.5,74,65,0,3.84,"Dec 26, 2019"
filadelfia,py,-22.35,-60.04,86,50,0,4.45,"Dec 26, 2019"
cairns,au,-16.92,145.77,88,58,75,5.7,"Dec 26, 2019"
klaksvik,fo,62.23,-6.59,45,81,100,12.9,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
clinton,us,30.87,-91.02,66,93,90,1.5,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
torbay,ca,47.66,-52.73,35,86,90,15.4,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
coihaique,cl,-45.58,-72.07,54,81,75,2.6,"Dec 26, 2019"
barrow,us,39.51,-90.4,52,93,40,3.6,"Dec 26, 2019"
warmbad,na,-28.45,18.73,50,78,83,4.27,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
bredasdorp,za,-34.53,20.04,56,82,35,2.6,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
raudeberg,no,61.99,5.14,36,80,100,3.1,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
aklavik,ca,68.22,-135.01,-20,75,90,4.1,"Dec 26, 2019"
qaanaaq,gl,77.48,-69.36,-4,67,0,3.11,"Dec 26, 2019"
barrow,us,39.51,-90.4,52,93,40,3.6,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
paramonga,pe,-10.68,-77.82,67,93,100,4.23,"Dec 26, 2019"
sobolevo,ru,54.43,31.9,34,96,100,2.45,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
lebu,cl,-37.62,-73.65,51,84,88,2.21,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
wajir,ke,1.75,40.07,77,72,0,4.39,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
constitucion,mx,23.99,-104.67,56,61,40,3.1,"Dec 26, 2019"
tuatapere,nz,-46.13,167.69,59,68,78,10.28,"Dec 26, 2019"
katsuura,jp,33.93,134.5,52,61,75,9.8,"Dec 26, 2019"
havre-saint-pierre,ca,50.23,-63.6,11,66,1,4.1,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
qaanaaq,gl,77.48,-69.36,-4,67,0,3.11,"Dec 26, 2019"
carutapera,br,-1.2,-46.02,83,79,0,6.79,"Dec 26, 2019"
mago,ru,53.27,140.15,-9,89,80,1.82,"Dec 26, 2019"
lagoa,pt,37.14,-8.45,63,55,98,3.6,"Dec 26, 2019"
shu,kz,43.6,73.76,33,38,100,0.92,"Dec 26, 2019"
borogontsy,ru,62.67,131.17,-40,96,55,1.96,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
ternate,id,0.8,127.4,87,60,0,2.73,"Dec 26, 2019"
grand gaube,mu,-20.01,57.66,79,88,75,8.2,"Dec 26, 2019"
constantine,dz,36.36,6.61,39,80,7,2.1,"Dec 26, 2019"
souillac,mu,-20.52,57.52,79,88,75,8.2,"Dec 26, 2019"
merauke,id,-8.49,140.4,90,59,1,4.92,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
san felipe,mx,31.02,-114.84,49,88,0,1.62,"Dec 26, 2019"
port alfred,za,-33.59,26.89,63,65,100,4.02,"Dec 26, 2019"
atherton,au,-17.27,145.48,88,58,75,5.7,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
makakilo city,us,21.35,-158.09,83,69,1,6.7,"Dec 26, 2019"
kavieng,pg,-2.57,150.8,81,80,98,2.95,"Dec 26, 2019"
arraial do cabo,br,-22.97,-42.02,76,90,0,8.05,"Dec 26, 2019"
thompson,ca,55.74,-97.86,18,85,90,1.0,"Dec 26, 2019"
sao joao da barra,br,-21.64,-41.05,76,87,0,8.09,"Dec 26, 2019"
kaitangata,nz,-46.28,169.85,54,82,100,7.95,"Dec 26, 2019"
almaznyy,ru,48.03,40.04,30,92,20,2.0,"Dec 26, 2019"
mahebourg,mu,-20.41,57.7,79,88,75,8.2,"Dec 26, 2019"
anadyr,ru,64.73,177.51,-29,73,72,3.0,"Dec 26, 2019"
lebu,cl,-37.62,-73.65,51,84,88,2.21,"Dec 26, 2019"
srednekolymsk,ru,67.46,153.71,-33,92,0,1.18,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
egvekinot,ru,66.32,-179.17,-21,90,0,3.12,"Dec 26, 2019"
maceio,br,-9.67,-35.74,79,74,75,3.6,"Dec 26, 2019"
mayumba,ga,-3.44,10.65,79,86,92,1.22,"Dec 26, 2019"
kavaratti,in,10.57,72.64,83,83,92,2.1,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
barrow,us,39.51,-90.4,52,93,40,3.6,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
port alfred,za,-33.59,26.89,63,65,100,4.02,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
itaituba,br,-4.26,-55.99,75,98,29,0.74,"Dec 26, 2019"
maltahohe,na,-24.83,16.98,67,25,96,4.13,"Dec 26, 2019"
constitucion,mx,23.99,-104.67,56,61,40,3.1,"Dec 26, 2019"
thinadhoo,mv,0.53,72.93,82,81,65,5.43,"Dec 26, 2019"
richards bay,za,-28.77,32.06,76,88,100,9.34,"Dec 26, 2019"
roebourne,au,-20.77,117.15,114,12,83,7.36,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
bredasdorp,za,-34.53,20.04,56,82,35,2.6,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
constitucion,mx,23.99,-104.67,56,61,40,3.1,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
platteville,us,42.73,-90.48,37,93,90,3.1,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
ribeira grande,pt,38.52,-28.7,62,91,100,14.91,"Dec 26, 2019"
kaitangata,nz,-46.28,169.85,54,82,100,7.95,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
ternate,id,0.8,127.4,87,60,0,2.73,"Dec 26, 2019"
sitka,us,37.17,-99.65,28,87,0,3.23,"Dec 26, 2019"
bredasdorp,za,-34.53,20.04,56,82,35,2.6,"Dec 26, 2019"
qaanaaq,gl,77.48,-69.36,-4,67,0,3.11,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
moba,cd,-7.04,29.77,77,63,100,2.28,"Dec 26, 2019"
longyearbyen,sj,78.22,15.64,16,72,40,2.6,"Dec 26, 2019"
pitimbu,br,-7.47,-34.81,77,83,20,3.1,"Dec 26, 2019"
bartica,gy,6.41,-58.62,77,94,40,2.1,"Dec 26, 2019"
mahebourg,mu,-20.41,57.7,79,88,75,8.2,"Dec 26, 2019"
te anau,nz,-45.41,167.72,48,79,85,6.04,"Dec 26, 2019"
comodoro rivadavia,ar,-45.87,-67.48,72,35,35,9.8,"Dec 26, 2019"
yarmouth,ca,43.84,-66.12,20,67,5,1.11,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
golfito,cr,8.64,-83.17,76,93,9,0.78,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
ayr,au,-19.58,147.4,87,55,2,3.13,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
thompson,ca,55.74,-97.86,18,85,90,1.0,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
naze,jp,28.37,129.48,63,59,75,9.8,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
hilo,us,19.71,-155.08,81,74,90,3.1,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
lobva,ru,59.19,60.52,6,96,100,1.21,"Dec 26, 2019"
saldanha,za,-33.01,17.94,58,66,21,1.37,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
souillac,mu,-20.52,57.52,79,88,75,8.2,"Dec 26, 2019"
faanui,pf,-16.48,-151.75,80,82,100,11.7,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
lebu,cl,-37.62,-73.65,51,84,88,2.21,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
oytal,kz,42.91,73.27,30,57,97,2.89,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
khatanga,ru,71.98,102.47,-25,94,88,1.79,"Dec 26, 2019"
ilo,pe,-17.65,-71.34,70,81,91,0.49,"Dec 26, 2019"
hilo,us,19.71,-155.08,81,74,90,3.1,"Dec 26, 2019"
aklavik,ca,68.22,-135.01,-20,75,90,4.1,"Dec 26, 2019"
carnarvon,au,-24.87,113.63,83,69,0,9.8,"Dec 26, 2019"
rypefjord,no,70.63,23.67,27,79,100,4.1,"Dec 26, 2019"
kandrian,pg,-6.21,149.55,81,83,100,1.01,"Dec 26, 2019"
horsham,au,-36.71,142.2,99,9,0,2.85,"Dec 26, 2019"
dunedin,nz,-45.87,170.5,58,80,99,7.89,"Dec 26, 2019"
north shore,nz,-36.8,174.75,71,60,0,6.2,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
iisalmi,fi,63.56,27.19,20,92,90,4.6,"Dec 26, 2019"
sorland,no,67.67,12.69,39,71,100,5.53,"Dec 26, 2019"
carutapera,br,-1.2,-46.02,83,79,0,6.79,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
vostok,ru,46.45,135.83,-3,87,42,1.4,"Dec 26, 2019"
leo,bf,11.1,-2.1,68,13,33,3.7,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
merrill,us,42.03,-121.6,28,79,1,1.5,"Dec 26, 2019"
parana,br,-7.52,-72.89,75,97,94,0.55,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
balkanabat,tm,39.51,54.36,45,79,0,1.45,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
faanui,pf,-16.48,-151.75,80,82,100,11.7,"Dec 26, 2019"
port hueneme,us,34.15,-119.2,52,71,40,7.59,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
arraial do cabo,br,-22.97,-42.02,76,90,0,8.05,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
wajir,ke,1.75,40.07,77,72,0,4.39,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
ostrovnoy,ru,68.05,39.51,27,85,100,5.41,"Dec 26, 2019"
rennes,fr,48.11,-1.68,54,87,90,5.1,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
severo-yeniseyskiy,ru,60.37,93.04,-30,99,69,0.76,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
rosetta,eg,31.4,30.42,61,55,40,7.7,"Dec 26, 2019"
ivanovka,ru,50.81,43.66,15,92,60,1.76,"Dec 26, 2019"
kamenka,ru,53.19,44.05,23,56,97,1.8,"Dec 26, 2019"
heihe,cn,33.22,106.45,39,33,0,1.03,"Dec 26, 2019"
mount isa,au,-20.73,139.49,95,32,0,6.7,"Dec 26, 2019"
constantine,dz,36.36,6.61,39,80,7,2.1,"Dec 26, 2019"
castro,cl,-42.48,-73.76,56,100,90,9.8,"Dec 26, 2019"
chapais,ca,49.78,-74.86,12,72,90,4.6,"Dec 26, 2019"
vetluzhskiy,ru,58.39,45.47,20,81,70,1.21,"Dec 26, 2019"
kodiak,us,39.95,-94.76,36,80,90,4.1,"Dec 26, 2019"
akdagmadeni,tr,39.66,35.88,30,98,100,1.44,"Dec 26, 2019"
kabanjahe,id,3.1,98.49,83,74,40,2.1,"Dec 26, 2019"
klaksvik,fo,62.23,-6.59,45,81,100,12.9,"Dec 26, 2019"
saskylakh,ru,71.97,114.09,-33,100,0,0.99,"Dec 26, 2019"
mikuni,jp,36.22,136.15,50,53,75,10.3,"Dec 26, 2019"
hoquiam,us,46.98,-123.89,43,86,90,5.7,"Dec 26, 2019"
bideford,gb,51.02,-4.21,55,97,100,3.58,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
reconquista,ar,-29.14,-59.64,73,87,100,6.36,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
samarai,pg,-10.62,150.67,84,70,40,3.54,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
